experiment,checkpoint,agent,agent1_rew,agent2_rew,agent3_rew,agent4_rew,vs_random,agent_random
checkpoint/nfsp_rainbow/double_dunk_v2/RB1000000_F50000000_S0/0_2021-11-19_03:41:07,002000000,first_0,0.0,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/double_dunk_v2/RB1000000_F50000000_S0/0_2021-11-19_03:41:07,001500000,first_0,0.0,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/double_dunk_v2/RB1000000_F50000000_S0/0_2021-11-19_03:41:07,001000000,first_0,0.0,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/double_dunk_v2/RB1000000_F50000000_S0/0_2021-11-19_03:41:07,000500000,first_0,-17.066666666666666,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/double_dunk_v2/RB1000000_F50000000_S0/0_2021-11-19_03:41:07,003500000,first_0,-1.2,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/double_dunk_v2/RB1000000_F50000000_S0/0_2021-11-19_03:41:07,004000000,first_0,-0.4,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/double_dunk_v2/RB1000000_F50000000_S0/0_2021-11-19_03:41:07,003000000,first_0,0.0,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/double_dunk_v2/RB1000000_F50000000_S0/0_2021-11-19_03:41:07,002500000,first_0,0.0,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/double_dunk_v2/RB1000000_F50000000_S1/1_2021-11-19_20:42:30,002000000,first_0,0.0,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/double_dunk_v2/RB1000000_F50000000_S1/1_2021-11-19_20:42:30,001500000,first_0,-6.0,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/double_dunk_v2/RB1000000_F50000000_S1/1_2021-11-19_20:42:30,001000000,first_0,-18.032258064516128,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/double_dunk_v2/RB1000000_F50000000_S1/1_2021-11-19_20:42:30,000500000,first_0,-17.475409836065573,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/double_dunk_v2/RB1000000_F50000000_S1/1_2021-11-19_20:42:30,003000000,first_0,-0.8,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/double_dunk_v2/RB1000000_F50000000_S1/1_2021-11-19_20:42:30,003500000,first_0,0.0,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/double_dunk_v2/RB1000000_F50000000_S1/1_2021-11-19_20:42:30,002500000,first_0,0.0,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/double_dunk_v2/RB1000000_F50000000_S1/1_2021-11-19_20:42:30,004000000,first_0,0.0,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/double_dunk_v2/RB1000000_F50000000_S1/1_2021-11-19_20:42:30,005500000,first_0,0.0,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/double_dunk_v2/RB1000000_F50000000_S1/1_2021-11-19_20:42:30,004500000,first_0,-0.4,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/double_dunk_v2/RB1000000_F50000000_S1/1_2021-11-19_20:42:30,006000000,first_0,0.0,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/double_dunk_v2/RB1000000_F50000000_S1/1_2021-11-19_20:42:30,005000000,first_0,0.0,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/double_dunk_v2/RB1000000_F50000000_S1/1_2021-11-19_20:42:30,006500000,first_0,-1.6,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/double_dunk_v2/RB1000000_F50000000_S1/1_2021-11-19_20:42:30,007500000,first_0,-0.8,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/double_dunk_v2/RB1000000_F50000000_S1/1_2021-11-19_20:42:30,007000000,first_0,0.0,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/double_dunk_v2/RB1000000_F50000000_S1/1_2021-11-19_20:42:30,008000000,first_0,0.0,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/double_dunk_v2/RB1000000_F50000000_S1/1_2021-11-19_20:42:30,008500000,first_0,0.0,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/double_dunk_v2/RB1000000_F50000000_S2/2_2021-11-19_20:42:30,000500000,first_0,-17.5,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/double_dunk_v2/RB1000000_F50000000_S2/2_2021-11-19_20:42:30,001000000,first_0,-3.0,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/double_dunk_v2/RB1000000_F50000000_S2/2_2021-11-19_20:42:30,001500000,first_0,-4.0,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/double_dunk_v2/RB1000000_F50000000_S2/2_2021-11-19_20:42:30,002500000,first_0,0.0,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/double_dunk_v2/RB1000000_F50000000_S2/2_2021-11-19_20:42:30,003000000,first_0,0.0,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/double_dunk_v2/RB1000000_F50000000_S2/2_2021-11-19_20:42:30,003500000,first_0,0.0,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/double_dunk_v2/RB1000000_F50000000_S2/2_2021-11-19_20:42:30,002000000,first_0,0.0,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/double_dunk_v2/RB1000000_F50000000_S2/2_2021-11-19_20:42:30,004000000,first_0,-6.0,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/boxing_v1/RB1000000_F50000000_S2/2_2021-11-18_11:56:53,000500000,first_0,-2.436619718309859,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/boxing_v1/RB1000000_F50000000_S0/0_2021-11-18_11:39:28,000500000,first_0,-1.0,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/boxing_v1/RB1000000_F50000000_S2/2_2021-11-18_11:56:53,001500000,first_0,-19.704225352112676,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/boxing_v1/RB1000000_F50000000_S2/2_2021-11-18_11:56:53,001000000,first_0,-11.28169014084507,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/pong_v2/RB1000000_F50000000_S0/0_2021-11-20_18:59:49,002000000,first_0,-21.0,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/pong_v2/RB1000000_F50000000_S0/0_2021-11-20_18:59:49,001000000,first_0,-20.91358024691358,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/pong_v2/RB1000000_F50000000_S0/0_2021-11-20_18:59:49,001500000,first_0,-20.99390243902439,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/pong_v2/RB1000000_F50000000_S0/0_2021-11-20_18:59:49,000500000,first_0,-20.03053435114504,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/boxing_v1/RB1000000_F50000000_S2/2_2021-11-18_11:56:53,002500000,first_0,-22.845070422535212,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/boxing_v1/RB1000000_F50000000_S2/2_2021-11-18_11:56:53,002000000,first_0,-19.549295774647888,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/boxing_v1/RB1000000_F50000000_S2/2_2021-11-18_11:56:53,003000000,first_0,-63.436619718309856,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/boxing_v1/RB1000000_F50000000_S2/2_2021-11-18_11:56:53,003500000,first_0,-67.87323943661971,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/pong_v2/RB1000000_F50000000_S0/0_2021-11-20_18:59:49,002500000,first_0,-21.0,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/pong_v2/RB1000000_F50000000_S0/0_2021-11-20_18:59:49,004000000,first_0,-21.0,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/pong_v2/RB1000000_F50000000_S0/0_2021-11-20_18:59:49,003500000,first_0,-21.0,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/pong_v2/RB1000000_F50000000_S0/0_2021-11-20_18:59:49,003000000,first_0,-21.0,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/boxing_v1/RB1000000_F50000000_S2/2_2021-11-18_11:56:53,004500000,first_0,-55.014084507042256,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/boxing_v1/RB1000000_F50000000_S2/2_2021-11-18_11:56:53,005500000,first_0,-22.422535211267604,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/boxing_v1/RB1000000_F50000000_S2/2_2021-11-18_11:56:53,005000000,first_0,-32.40845070422535,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/boxing_v1/RB1000000_F50000000_S2/2_2021-11-18_11:56:53,004000000,first_0,-64.56338028169014,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/pong_v2/RB1000000_F50000000_S0/0_2021-11-20_18:59:49,005000000,first_0,-21.0,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/pong_v2/RB1000000_F50000000_S2/2_2021-11-21_03:44:11,001000000,first_0,-21.0,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/pong_v2/RB1000000_F50000000_S0/0_2021-11-20_18:59:49,004500000,first_0,-21.0,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/pong_v2/RB1000000_F50000000_S2/2_2021-11-21_03:44:11,000500000,first_0,-20.113636363636363,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/boxing_v1/RB1000000_F50000000_S2/2_2021-11-18_11:56:53,007000000,first_0,-53.19718309859155,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/boxing_v1/RB1000000_F50000000_S2/2_2021-11-18_11:56:53,006500000,first_0,-46.57746478873239,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/boxing_v1/RB1000000_F50000000_S2/2_2021-11-18_11:56:53,006000000,first_0,-43.309859154929576,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/boxing_v1/RB1000000_F50000000_S2/2_2021-11-18_11:56:53,007500000,first_0,-50.08450704225352,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/pong_v2/RB1000000_F50000000_S2/2_2021-11-21_03:44:11,002000000,first_0,-21.0,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/pong_v2/RB1000000_F50000000_S2/2_2021-11-21_03:44:11,002500000,first_0,-21.0,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/pong_v2/RB1000000_F50000000_S2/2_2021-11-21_03:44:11,001500000,first_0,-21.0,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/pong_v2/RB1000000_F50000000_S2/2_2021-11-21_03:44:11,003000000,first_0,-20.975609756097562,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/pong_v2/RB1000000_F50000000_S2/2_2021-11-21_03:44:11,004500000,first_0,-21.0,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/pong_v2/RB1000000_F50000000_S2/2_2021-11-21_03:44:11,005000000,first_0,-21.0,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/pong_v2/RB1000000_F50000000_S2/2_2021-11-21_03:44:11,003500000,first_0,-20.969325153374232,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/pong_v2/RB1000000_F50000000_S2/2_2021-11-21_03:44:11,004000000,first_0,-20.98170731707317,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/boxing_v1/RB1000000_F50000000_S2/2_2021-11-18_11:56:53,008500000,first_0,-53.87323943661972,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/boxing_v1/RB1000000_F50000000_S2/2_2021-11-18_11:56:53,009000000,first_0,-55.140845070422536,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/boxing_v1/RB1000000_F50000000_S2/2_2021-11-18_11:56:53,009500000,first_0,-53.690140845070424,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/boxing_v1/RB1000000_F50000000_S2/2_2021-11-18_11:56:53,008000000,first_0,-55.309859154929576,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/boxing_v1/RB1000000_F50000000_S2/2_2021-11-18_11:56:53,010000000,first_0,-53.816901408450704,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/boxing_v1/RB1000000_F50000000_S2/2_2021-11-18_11:56:53,010500000,first_0,-54.11267605633803,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/pong_v2/RB1000000_F50000000_S2/2_2021-11-21_03:44:11,006000000,first_0,-21.0,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/pong_v2/RB1000000_F50000000_S2/2_2021-11-21_03:44:11,006500000,first_0,-21.0,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/pong_v2/RB1000000_F50000000_S2/2_2021-11-21_03:44:11,005500000,first_0,-21.0,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/pong_v2/RB1000000_F50000000_S2/2_2021-11-21_03:44:11,007000000,first_0,-21.0,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/pong_v2/RB1000000_F50000000_S2/2_2021-11-21_03:44:11,009000000,first_0,-21.0,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/pong_v2/RB1000000_F50000000_S2/2_2021-11-21_03:44:11,008000000,first_0,-21.0,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/pong_v2/RB1000000_F50000000_S2/2_2021-11-21_03:44:11,008500000,first_0,-21.0,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/pong_v2/RB1000000_F50000000_S2/2_2021-11-21_03:44:11,007500000,first_0,-21.0,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/pong_v2/RB1000000_F50000000_S2/2_2021-11-21_03:44:11,010500000,first_0,-21.0,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/pong_v2/RB1000000_F50000000_S2/2_2021-11-21_03:44:11,010000000,first_0,-21.0,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/pong_v2/RB1000000_F50000000_S2/2_2021-11-21_03:44:11,009500000,first_0,-21.0,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/boxing_v1/RB1000000_F50000000_S0/0_2021-11-18_11:39:28,000500000,first_0,-2.647887323943662,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/boxing_v1/RB1000000_F50000000_S2/2_2021-11-18_11:56:53,001000000,first_0,-11.253521126760564,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/boxing_v1/RB1000000_F50000000_S2/2_2021-11-18_11:56:53,001500000,first_0,-19.112676056338028,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/boxing_v1/RB1000000_F50000000_S2/2_2021-11-18_11:56:53,000500000,first_0,-1.323943661971831,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/ice_hockey_v1/RB1000000_F50000000_S0/0_2021-11-20_10:46:08,000500000,first_0,-9.789473684210526,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/ice_hockey_v1/RB1000000_F50000000_S0/0_2021-11-20_10:46:08,001000000,first_0,-9.41025641025641,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/ice_hockey_v1/RB1000000_F50000000_S0/0_2021-11-20_10:46:08,002000000,first_0,-18.675675675675677,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/ice_hockey_v1/RB1000000_F50000000_S0/0_2021-11-20_10:46:08,001500000,first_0,-15.194444444444445,nan,nan,nan,False,False
